Index,Original Email,Model A,Model B,Compare Result,Time (sec)
13,"Lucy,
  Here are the rentrolls:
  Open them and save in the rentroll folder. Follow these steps so you don't 
 misplace these files.
  1. Click on Save As
  2. Click on the drop down triangle under Save in:
  3. Click on the (C): drive
  4. Click on the appropriate folder
  5. Click on Save:
 Phillip","Hi Phillip,

Thanks for letting me know! I’m ready when you are.","Hi Phillip,

Thank you for sending over the rentrolls. I will save them in the designated folder following the steps you provided.

Best regards,  
Lucy",modelB wins,0.92
14,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 
 02:16 PM ---------------------------
 Richard Burchfield
 10/06/2000 06:59 AM
 To: Phillip K Allen/HOU/ECT@ECT
 cc: Beth Perlman/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 Phillip,
  Below is the issues & to do list as we go forward with documenting the 
 requirements for consolidated physical/financial positions and transport 
 trade capture. What we need to focus on is the first bullet in Allan's list; 
 the need for a single set of requirements. Although the meeting with Keith, 
 on Wednesday, was informative the solution of creating a infinitely dynamic 
 consolidated position screen, will be extremely difficult and time 
 consuming. Throughout the meeting on Wednesday, Keith alluded to the 
 inability to get consensus amongst the traders on the presentation of the 
 consolidated position, so the solution was to make it so that a trader can 
 arrange the position screen to their liking (much like Excel). What needs to 
 happen on Monday from 3 - 5 is a effort to design a desired layout for the 
 consolidated position screen, this is critical. This does not exclude 
 building a capability to create a more flexible position presentation for the 
 future, but in order to create a plan that can be measured we need firm 
 requirements. Also, to reiterate that the goals of this project is a project 
 plan on consolidate physical/financial positions and transport trade capture. 
 The other issues that have been raised will be capture as projects on to 
 themselves, and will need to be prioritised as efforts outside of this 
 project.
 I have been involved in most of the meetings and the discussions have been 
 good. I believe there has been good communication between the teams, but now 
 we need to have focus on the objectives we set out to solve.
 Richard  
 ---------------------- Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000 
 08:34 AM ---------------------------
 Allan Severude
 10/05/2000 06:03 PM
 To: Richard Burchfield/HOU/ECT@ECT
 cc: Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott 
 Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 From our initial set of meetings with the traders regarding consolidated 
 positions, I think we still have the following issues:
 We don't have a single point of contact from the trading group. We've had 
 three meetings which brought out very different issues from different 
 traders. We really need a single point of contact to help drive the trader 
 requirements and help come to a consensus regarding the requirements.
 We're getting hit with a lot of different requests, many of which appear to 
 be outside the scope of position consolidation.
 Things left to do:
 I think it may be useful to try to formulate a high level project goal to 
 make it as clear as possible what we're trying to accomplish with this 
 project. It'll help determine which requests fall under the project scope.
 Go through the list of requests to determine which are in scope for this 
 project and which fall out of scope.
 For those in scope, work to define relative importance (priority) of each and 
 work with traders to define the exact requirements of each.
 Define the desired lay out of the position manager screen: main view and all 
 drill downs.
 Use the above to formulate a project plan.
 Things requested thus far (no particular order):
 Inclusion of Sitara physical deals into the TDS position manager and deal 
 ticker.
 Customized rows and columns in the position manager (ad hoc rows/columns that 
 add up existing position manager rows/columns).
 New drill down in the position manager to break out positions by: physical, 
 transport, swaps, options, ...
 Addition of a curve tab to the position manager to show the real-time values 
 of all curves on which the desk has a position.
 Ability to split the current position grid to allow daily positions to be 
 shown directly above monthly positions. Each grouped column in the top grid 
 would be tied to a grouped column in the bottom grid.
 Ability to properly show curve shift for float-for-float deals; determine the 
 appropriate positions to show for each:
 Gas Daily for monthly index,
 Physical gas for Nymex,
 Physical gas for Inside Ferc,
 Physical gas for Mid market.
 Ability for TDS to pull valuation results based on a TDS flag instead of 
 using official valuations.
 Position and P&L aggregation across all gas desks.
 Ability to include the Gas Price book into TDS:
 Inclusion of spread options in our systems. Ability to handle volatility 
 skew and correlations.
 Ability to revalue all options incrementally throughout the trading day.  
 Approximate delta changes between valuations using instantaneous gamma or a 
 gamma grid.
 Valuation of Gas Daily options.
 A new position screen for options (months x strike x delta). TBD.
 Inclusion of positions for exotic options currently managed in spreadsheets.
 Ability to isolate the position change due to changed deals in the position 
 manager.
 Ability to view change deal P&L in the TDS deal ticker. Show new deal terms, 
 prior deal terms, and net P&L affect of the change.
 Eliminate change deals with no economic impact from the TDS deal ticker.
 Position drill down in the position manager to isolate the impact of 
 individual deals on the position total in a grid cell.
 Benchmark positions in TDS.
 Deployment of TDS in Canada. Currency and volume uom conversions. Implicit 
 and explicit position break out issues.
 -- Allan.
 PS: Colleen is setting up a meeting tomorrow to discuss the direction for 
 transport. Hopefully we'll know much better where that part stands at that 
 point.","Subject: Consolidated Positions: Project Planning & Next Steps

Hi Richard,

Following our initial discussions, I've put together a preliminary plan for the consolidated position screen project.  It’s crucial we focus on establishing a clear, dynamic structure.

Here’s what we need to prioritize moving forward:

*   **Design a Desired Layout:** I’ve drafted a high-level layout for the consolidated position screen – a main view with drill-down capabilities – to facilitate efficient data access.
*   **Focus on Requirements:** We need to establish a clear set of requirements for this project.  Let’s start by identifying the key goals – consolidating physical/financial positions and transport trade capture.
*   **Monday’s Effort:** I’ll dedicate Monday’s time to designing this layout.

I’m committed to collaborating on this, and I believe open communication is vital.

Richard","Hi Richard,

Thank you for the detailed update and summary of the issues and to-do list for the consolidated positions project. I agree that focusing on defining a single set of requirements is crucial to moving forward effectively. I'm aligned with the plan to work on designing the desired layout for the consolidated position screen during our session on Monday. This step will be vital in setting a solid foundation for our project plan.

I appreciate your efforts in maintaining good communication across teams, and I’m confident that with continued focus, we will achieve the objectives we have set out. Please keep me informed of any further developments, especially following tomorrow's meeting on transport direction.

Best regards,

Phillip",modelB wins,1.23
15,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 
 02:00 PM ---------------------------
 Richard Burchfield
 10/06/2000 06:59 AM
 To: Phillip K Allen/HOU/ECT@ECT
 cc: Beth Perlman/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 Phillip,
  Below is the issues & to do list as we go forward with documenting the 
 requirements for consolidated physical/financial positions and transport 
 trade capture. What we need to focus on is the first bullet in Allan's list; 
 the need for a single set of requirements. Although the meeting with Keith, 
 on Wednesday, was informative the solution of creating a infinitely dynamic 
 consolidated position screen, will be extremely difficult and time 
 consuming. Throughout the meeting on Wednesday, Keith alluded to the 
 inability to get consensus amongst the traders on the presentation of the 
 consolidated position, so the solution was to make it so that a trader can 
 arrange the position screen to their liking (much like Excel). What needs to 
 happen on Monday from 3 - 5 is a effort to design a desired layout for the 
 consolidated position screen, this is critical. This does not exclude 
 building a capability to create a more flexible position presentation for the 
 future, but in order to create a plan that can be measured we need firm 
 requirements. Also, to reiterate that the goals of this project is a project 
 plan on consolidate physical/financial positions and transport trade capture. 
 The other issues that have been raised will be capture as projects on to 
 themselves, and will need to be prioritised as efforts outside of this 
 project.
 I have been involved in most of the meetings and the discussions have been 
 good. I believe there has been good communication between the teams, but now 
 we need to have focus on the objectives we set out to solve.
 Richard  
 ---------------------- Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000 
 08:34 AM ---------------------------
 Allan Severude
 10/05/2000 06:03 PM
 To: Richard Burchfield/HOU/ECT@ECT
 cc: Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, Scott 
 Mills/HOU/ECT@ECT, Kenny Ha/HOU/ECT@ECT 
 Subject: Consolidated positions: Issues & To Do list
 From our initial set of meetings with the traders regarding consolidated 
 positions, I think we still have the following issues:
 We don't have a single point of contact from the trading group. We've had 
 three meetings which brought out very different issues from different 
 traders. We really need a single point of contact to help drive the trader 
 requirements and help come to a consensus regarding the requirements.
 We're getting hit with a lot of different requests, many of which appear to 
 be outside the scope of position consolidation.
 Things left to do:
 I think it may be useful to try to formulate a high level project goal to 
 make it as clear as possible what we're trying to accomplish with this 
 project. It'll help determine which requests fall under the project scope.
 Go through the list of requests to determine which are in scope for this 
 project and which fall out of scope.
 For those in scope, work to define relative importance (priority) of each and 
 work with traders to define the exact requirements of each.
 Define the desired lay out of the position manager screen: main view and all 
 drill downs.
 Use the above to formulate a project plan.
 Things requested thus far (no particular order):
 Inclusion of Sitara physical deals into the TDS position manager and deal 
 ticker.
 Customized rows and columns in the position manager (ad hoc rows/columns that 
 add up existing position manager rows/columns).
 New drill down in the position manager to break out positions by: physical, 
 transport, swaps, options, ...
 Addition of a curve tab to the position manager to show the real-time values 
 of all curves on which the desk has a position.
 Ability to split the current position grid to allow daily positions to be 
 shown directly above monthly positions. Each grouped column in the top grid 
 would be tied to a grouped column in the bottom grid.
 Ability to properly show curve shift for float-for-float deals; determine the 
 appropriate positions to show for each:
 Gas Daily for monthly index,
 Physical gas for Nymex,
 Physical gas for Inside Ferc,
 Physical gas for Mid market.
 Ability for TDS to pull valuation results based on a TDS flag instead of 
 using official valuations.
 Position and P&L aggregation across all gas desks.
 Ability to include the Gas Price book into TDS:
 Inclusion of spread options in our systems. Ability to handle volatility 
 skew and correlations.
 Ability to revalue all options incrementally throughout the trading day.  
 Approximate delta changes between valuations using instantaneous gamma or a 
 gamma grid.
 Valuation of Gas Daily options.
 A new position screen for options (months x strike x delta). TBD.
 Inclusion of positions for exotic options currently managed in spreadsheets.
 Ability to isolate the position change due to changed deals in the position 
 manager.
 Ability to view change deal P&L in the TDS deal ticker. Show new deal terms, 
 prior deal terms, and net P&L affect of the change.
 Eliminate change deals with no economic impact from the TDS deal ticker.
 Position drill down in the position manager to isolate the impact of 
 individual deals on the position total in a grid cell.
 Benchmark positions in TDS.
 Deployment of TDS in Canada. Currency and volume uom conversions. Implicit 
 and explicit position break out issues.
 -- Allan.
 PS: Colleen is setting up a meeting tomorrow to discuss the direction for 
 transport. Hopefully we'll know much better where that part stands at that 
 point.","Subject: Consolidated Positions: Project Plan Discussion

Hi Richard,

Following our initial discussions regarding the consolidated position screen, we need to solidify our approach to ensure it delivers the desired functionality and is achievable within our timeframe.

As you know, Keith’s feedback highlighted the challenges in achieving consensus amongst traders regarding the presentation of the consolidated position screen. To mitigate this, we’re moving forward with a focused effort to design a highly adaptable layout – essentially, an infinitely dynamic position screen – that can accommodate future evolution.

To that end, I’ve scheduled a meeting for Monday, from 3:00 PM to 5:00 PM to begin the design phase of the consolidated position screen layout. This is critical for establishing a clear roadmap for our project.

Let me know if you'd like to contribute to this initial design.

Best,

Phillip K Allen","Hi Richard,

Thank you for forwarding the issues and to-do list. I appreciate the overview and the details provided.

I agree that focusing on a single set of requirements is crucial, especially given the challenges highlighted in the meetings. I'll ensure we have a concrete plan for Monday's session to design the desired layout for the consolidated position screen. Achieving consensus among the traders is a priority, and I'll work towards facilitating this effectively.

I'll also review the list of requests and help in determining their scope and priority. It's important we stay aligned with the project objectives and create a comprehensive project plan.

Looking forward to our continued collaboration on this.

Best regards,  
Phillip",modelB wins,1.13
16,"Dave, 
  Here are the names of the west desk members by category. The origination 
 side is very sparse.  
 Phillip","Hi Phillip,

Thanks for sharing the information. 

Best,
[Your Name]","Hi Phillip,

Thanks for sending over the names of the west desk members. I'll take a closer look and get back to you if I have any questions or need more information.

Best,
Dave",modelB wins,1.23
17,"Paula,
  35 million is fine
 Phillip","Subject: Re: Your Message

Hi Phillip,

Thanks for the update! 

Best,
[Your Name]","Hi Phillip,

Great! I'm glad we are on the same page. Let me know if there's anything else we need to consider or discuss.

Best,
Paula",modelB wins,0.72
18,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/04/2000 
 04:23 PM ---------------------------
  
  Enron North America Corp.
  
  From: Airam Arteaga  10/04/2000 12:23 PM
  
 To: Phillip K Allen/HOU/ECT@ECT, Thomas A Martin/HOU/ECT@ECT, Scott 
 Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT, Ted 
 Murphy/HOU/ECT@ECT, Vladimir Gorny/HOU/ECT@ECT, Frank Hayden/Corp/Enron@Enron
 cc: Rita Hennessy/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Laura 
 Harder/Corp/Enron@Enron, Kimberly Brown/HOU/ECT@ECT, Araceli 
 Romero/NA/Enron@Enron, Kimberly Hillis/HOU/ECT@ect 
 Subject: Var, Reporting and Resources Meeting
 Please plan to attend the below Meeting:
  Topic: Var, Reporting and Resources Meeting
  
  Date: Wednesday, October 11th
  Time: 2:30 - 3:30 
  Location: EB30C1
  
  If you have any questions/conflicts, please feel free to call me.
 Thanks,
 Rain
 x.31560","Subject: Re: Var, Reporting and Resources Meeting

Hi Rain,

Okay, I’ve got it.

Thanks,
Phillip K Allen","Hi Rain,

Thank you for the meeting invitation. I have marked my calendar for October 11th, and I will be there. If anything comes up or if I have any questions, I will reach out to you.

Best regards,

Phillip",modelA wins,0.80
19,"Tim,
 mike grigsby is having problems with accessing the west power site. Can you please make sure he has an active password.  
 Thank you,
 Phillip","Hi Phillip,

Okay, I’ll check on that for Tim.","Hi Phillip,

I’ll check on Mike Grigsby’s access to the West Power site and ensure his password is active. I’ll update you once it’s resolved.

Thanks,
Tim",modelB wins,0.74
20,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000 
 04:30 PM ---------------------------
 ""George Richards"" <cbpres@austin.rr.com> on 10/03/2000 06:35:56 AM
 Please respond to <cbpres@austin.rr.com>
 To: ""Phillip Allen"" <pallen@enron.com>
 cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net> 
 Subject: Westgate
 Westgate
 Enclosed are demographics on the Westgate site from Investor's Alliance.
 Investor's Alliance says that these demographics are similar to the package
 on San Marcos that you received earlier.
 If there are any other questions or information requirements, let me know.
 Then, let me know your interest level in the Westgate project?
 San Marcos
 The property across the street from the Sagewood units in San Marcos is for
 sale and approved for 134 units. The land is selling for $2.50 per square
 foot as it is one of only two remaining approved multifamily parcels in West
 San Marcos, which now has a moratorium on development.
 Several new studies we have looked at show that the rents for our duplexes
 and for these new units are going to be significantly higher, roughly $1.25
 per square foot if leased for the entire unit on a 12-month lease and
 $1.30-$1.40 psf if leased on a 12-month term, but by individual room. This
 property will have the best location for student housing of all new
 projects, just as the duplexes do now.
 If this project is of serious interest to you, please let me know as there
 is a very, very short window of opportunity. The equity requirement is not
 yet known, but it would be likely to be $300,000 to secure the land. I will
 know more on this question later today.
 Sincerely,
 George W. Richards
 President, Creekside Builders, LLC
  - winmail.dat","Subject: Re: Westgate

George,

This is interesting. I’m definitely interested.","Dear George,

Thank you for sending the demographics on the Westgate site. I appreciate the detailed information and comparisons to the San Marcos package.

Regarding the Westgate project, I am reviewing the materials and will get back to you shortly with my interest level. As for the San Marcos property, the opportunity seems promising, especially with the potential for higher rents and its prime location for student housing. I am interested in learning more about the equity requirement once you have that information.

Please keep me updated on any further developments, and I will reach out if I have additional questions.

Best regards,

Phillip K. Allen",modelA wins,0.87
21,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000 
 04:13 PM ---------------------------
 Nancy Hall@ENRON
 10/02/2000 06:42 AM
 To: Mark Whitt/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Paul T 
 Lucci/NA/Enron@Enron, Paul Bieniawski/Corp/Enron@ENRON, Tyrell 
 Harrison/NA/Enron@Enron
 cc: Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Monica 
 Jackson/Corp/Enron@ENRON 
 Subject: Meeting re: Storage Strategies in the West
 There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding 
 Storage Strategies in the West. Please mark your calendars.
 Thank you!
 Regards,
 Nancy Hall
 ENA Denver office
 303-575-6490","Subject: Meeting re: Storage Strategies in the West

Please mark your calendars for a meeting on Tuesday, October 10th at 4:00pm in EB3270 regarding Storage Strategies in the West.","Hi Nancy,

Thank you for the meeting invitation. I have marked my calendar and will be there on October 10th at 4:00 PM.

Looking forward to the discussion.

Best regards,  
Phillip K Allen",modelB wins,1.07
22,"Brenda,
 Please use the second check as the October payment. If you have already 
 tossed it, let me know so I can mail you another.
 Phillip","Subject: Re: October Payment - Please Use Second Check

Hi Phillip,

Please use the second check as the October payment. If you have already tossed it, let me know so I can mail you another.

Best,
Brenda","Hi Phillip,

Thank you for letting me know. I still have the second check, so I'll use it for the October payment as instructed. No need to send another one.

Best,  
Brenda",modelB wins,0.86
23,I think Fletch has a good CPA. I am still doing my own.,"Okay, here’s the email body:

Subject: Re: [Original Subject of Email]

Hi,

Thanks for the update!

Best,

[Your Name]","Thanks for letting me know. If you have any recommendations or tips from your experience, I'd love to hear them!",modelB wins,0.72
24,"Brenda,
  Please use the second check as my October payment. I have my copy of the 
 original deal. Do you want me to fax this to you?
 Phillip","Hi Phillip,

Thanks for the request!

Best,
Brenda","Hi Phillip,

Thank you for letting me know. Yes, please go ahead and fax me the copy of the original deal. I appreciate it!

Best,
Brenda",modelB wins,0.95
25,"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 
 01:09 PM ---------------------------
  
  
  
  From: Phillip K Allen  09/28/2000 10:56 AM
  
 Liane,
  As we discussed yesterday, I am concerned there may have been an attempt to 
 manipulate the El Paso San Juan monthly index. It appears that a single 
 buyer entered the marketplace on both September 26 and 27 and paid above 
 market prices ($4.70-$4.80) for San Juan gas. At the time of these trades, 
 offers for physical gas at significantly (10 to 15 cents) lower prices were 
 bypassed in order to establish higher trades to report into the index 
 calculation. Additionally, these trades are out of line with the associated 
 financial swaps for San Juan.
  We have compiled a list of financial and physical trades executed from 
 September 25 to September 27. These are the complete list of trades from 
 Enron Online (EOL), Enron's direct phone conversations, and three brokerage 
 firms (Amerex, APB, and Prebon). Please see the attached spreadsheet for a 
 trade by trade list and a summary. We have also included a summary of gas 
 daily prices to illustrate the value of San Juan based on several spread 
 relationships. The two key points from this data are as follows:
  1. The high physical prices on the 26th & 27th (4.75,4,80) are much greater 
 than the high financial trades (4.6375,4.665) on those days. 
  2. The spread relationship between San Juan and other points (Socal & 
 Northwest) is consistent between the end of September and 
  October gas daily. It doesn't make sense to have monthly indices that 
 are dramatically different.
  I understand you review the trades submitted for outliers. Hopefully, the 
 trades submitted will reveal counterparty names and you will be able to 
 determine that there was only one buyer in the 4.70's and these trades are 
 outliers. I wanted to give you some additional points of reference to aid in 
 establishing a reasonable index. It is Enron's belief that the trades at 
 $4.70 and higher were above market trades that should be excluded from the 
 calculation of index.
  It is our desire to have reliable and accurate indices against which to 
 conduct our physical and financial business. Please contact me 
 anytime I can assist you towards this goal.
 Sincerely,
 Phillip Allen","Subject: Regarding El Paso San Juan Index and Trades

Dear Phillip,

Thank you for your email. We are currently reviewing the trades submitted for outliers and will take the necessary steps to determine the cause of the observed discrepancies. We appreciate your detailed observations and are committed to ensuring the accuracy of the index.

Sincerely,

Phillip Allen","Liane,

Thank you for sharing your concerns regarding the San Juan monthly index with me. I appreciate the detailed information and the data you've provided. I'll review the trades and the attached spreadsheet carefully to assess the situation. It's crucial for us to ensure that our indices reflect accurate market conditions, so I will look into these trades to determine if they should be considered outliers.

Please feel free to reach out if you have any further insights or require additional information from my end. I will keep you updated on any developments.

Best regards,

[Your Name]",modelA wins,1.57
